id	has_phys_det	num_phys_boxes	yolo_conf_max	stn_pmax_max	stn_entropy_mean	p_b2_max	p_b3_max	p_b6_max	p_b7_max	p_b8_max	tem_pc1	tem_pc2	tem_pc3	hum_pc1	hum_pc2	hum_pc3	dew_pc1	dew_pc2	dew_pc3	co2_pc1	area	grow
326812_20210915_2_2_b7_3_2_12_1_57	1	1	0.727075577	0.999996781	4.56E-05	4.82E-07	3.89E-10	2.72E-06	0.999996781	2.52E-08	41.10021674	-32.50875225	27.11525923	33.25555073	-110.1813597	-32.0567273	34.19556666	5.560723332	2.014190388	1415.101698	3	12
326814_20210915_2_2_b7_3_2_12_1_59	1	1	0.676187754	0.999999642	5.45E-06	4.71E-08	1.61E-10	1.83E-07	0.999999642	8.99E-08	41.10021674	-32.50875225	27.11525923	33.25555073	-110.1813597	-32.0567273	34.19556666	5.560723332	2.014190388	1415.101698	3	12
326815_20210915_2_2_b7_3_2_12_1_60	1	1	0.526817441	0.99941051	0.005056047	1.21E-05	6.29E-07	0.000573504	0.99941051	3.18E-06	41.10021674	-32.50875225	27.11525923	33.25555073	-110.1813597	-32.0567273	34.19556666	5.560723332	2.014190388	1415.101698	3	12
326822_20210915_2_2_b7_3_2_12_1_67	1	1	0.522392392	0.999999642	5.15E-06	7.04E-10	2.28E-12	3.19E-07	0.999999642	3.24E-10	41.10021674	-32.50875225	27.11525923	33.25555073	-110.1813597	-32.0567273	34.19556666	5.560723332	2.014190388	1415.101698	3	12
327895_20210917_2_2_b6_3_2_12_1_0	1	1	0.556452274	0.992454112	0.04459551	2.13E-06	1.81E-07	0.007516315	0.992454112	2.74E-05	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327897_20210917_2_2_b6_3_2_12_1_2	1	1	0.409678251	0.999790967	0.002142712	4.36E-06	5.87E-08	0.000114573	0.999790967	9.01E-05	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327898_20210917_2_2_b6_3_2_12_1_3	1	1	0.904092908	0.595749855	0.677705288	0.000266454	4.25E-05	0.403906643	0.595749855	3.46E-05	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327900_20210917_2_2_b6_3_2_12_1_5	1	1	0.907199681	0.897329152	0.335766971	0.000782708	1.55E-05	0.101862155	0.897329152	1.05E-05	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327902_20210917_2_2_b6_3_2_12_1_7	1	1	0.863929987	0.972010255	0.128088221	3.27E-05	4.57E-07	0.027939232	0.972010255	1.74E-05	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327905_20210917_2_2_b6_3_2_12_1_10	1	1	0.844479382	0.765381873	0.544976711	1.70E-05	4.11E-08	0.234601051	0.765381873	2.51E-09	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327914_20210917_2_2_b6_3_2_12_1_19	1	1	0.868551612	0.895936131	0.334296435	2.24E-05	1.45E-05	0.895936131	0.104025349	1.68E-06	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327916_20210917_2_2_b6_3_2_12_1_21	1	1	0.866051376	0.985564113	0.075878948	2.19E-05	2.52E-05	0.985564113	0.014386897	1.85E-06	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327920_20210917_2_2_b6_3_2_12_1_25	1	3	0.30593279	0.993433952	0.171217538	0.000328936	0.000124971	0.001735533	0.993433952	0.861866355	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327922_20210917_2_2_b6_3_2_12_1_27	1	2	0.175655037	0.999566138	0.00423133	3.83E-05	1.23E-05	0.000460242	0.999566138	0.000279191	37.08239795	-13.35940512	27.48013284	-66.8981922	-117.0295796	-16.48636797	15.81792554	2.387573609	-0.957295116	1261.020787	3	12
327941_20210917_2_2_b6_3_2_12_1_46	1	1	0.886370778	0.667286098	0.636187077	8.83E-06	6.97E-08	0.667286098	0.332705051	3.67E-09	37.00944221	-14.79976952	27.26733584	-63.20625819	-119.7178152	-15.75451152	15.84447494	2.397399853	-1.002389194	1260.951779	3	12
327942_20210917_2_2_b6_3_2_12_1_47	1	1	0.886100233	0.695252717	0.614926636	8.05E-06	3.48E-08	0.304739177	0.695252717	2.29E-09	37.00944221	-14.79976952	27.26733584	-63.20625819	-119.7178152	-15.75451152	15.84447494	2.397399853	-1.002389194	1260.951779	3	12
327943_20210917_2_2_b6_3_2_12_1_48	1	1	0.610781193	0.956533909	0.178962067	5.71E-06	2.70E-07	0.043450125	0.956533909	1.01E-05	37.00944221	-14.79976952	27.26733584	-63.20625819	-119.7178152	-15.75451152	15.84447494	2.397399853	-1.002389194	1260.951779	3	12
424650_20210903_2_1_a6_3_2_12_1_1	0	0	0	0	0	0	0	0	0	0	44.17699937	-18.01140048	22.15806608	11.69294998	-77.14010246	-38.86790969	39.82352211	2.499350783	2.869816798	1225.505344	3	12
424651_20210903_2_1_a6_3_2_12_1_2	0	0	0	0	0	0	0	0	0	0	44.17699937	-18.01140048	22.15806608	11.69294998	-77.14010246	-38.86790969	39.82352211	2.499350783	2.869816798	1225.505344	3	12
424652_20210903_2_1_a6_3_2_12_1_3	0	0	0	0	0	0	0	0	0	0	44.17699937	-18.01140048	22.15806608	11.69294998	-77.14010246	-38.86790969	39.82352211	2.499350783	2.869816798	1225.505344	3	12
424653_20210903_2_1_a6_3_2_12_1_4	0	0	0	0	0	0	0	0	0	0	44.17699937	-18.01140048	22.15806608	11.69294998	-77.14010246	-38.86790969	39.82352211	2.499350783	2.869816798	1225.505344	3	12
424656_20210903_2_1_a6_3_2_12_1_7	0	0	0	0	0	0	0	0	0	0	44.25832166	-19.04630449	22.08926776	14.83041093	-80.11262539	-37.36613904	39.73971782	2.522189386	2.941305854	1225.386573	3	12
424657_20210903_2_1_a6_3_2_12_1_8	0	0	0	0	0	0	0	0	0	0	44.25832166	-19.04630449	22.08926776	14.83041093	-80.11262539	-37.36613904	39.73971782	2.522189386	2.941305854	1225.386573	3	12
424659_20210903_2_1_a6_3_2_12_1_10	0	0	0	0	0	0	0	0	0	0	44.25832166	-19.04630449	22.08926776	14.83041093	-80.11262539	-37.36613904	39.73971782	2.522189386	2.941305854	1225.386573	3	12
424662_20210903_2_1_a6_3_2_12_1_13	0	0	0	0	0	0	0	0	0	0	44.25832166	-19.04630449	22.08926776	14.83041093	-80.11262539	-37.36613904	39.73971782	2.522189386	2.941305854	1225.386573	3	12
424667_20210906_2_1_a6_3_2_12_1_4	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
424668_20210906_2_1_a6_3_2_12_1_5	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
